Name (Name),Adresse (Address),Website (Webseite)
ABK Allgemeine Baugenossenschaft Kriens,"Zumhofstrasse 6, 6010 Kriens",www.abk-kriens.ch
Adapart S.A.,"Route de France 15, 2350 Saignelegier",N/A
AHAGE Genossenschaft fur alternative Hausgemeinschaft,"Schaffhauserstrasse 333, 8050 Zurich",N/A
Aktiengesellschaft fur Erstellung billiger Wohnhauser in Winterthur,"Klosterstrasse 17, 8406 Winterthur",www.gebw.ch
Alfen SA,"Avenue de Clos-Brochet 10, 2000 Neuchatel",www.alfen.ch
Allg. Wohnbaugenossenschaft Aarau und Umgebung ABAU,"Aarenaustrasse 31, 5000 Aarau",www.abau.ch
Allgemeine Bau- und Wohnbaugenossenschaft Biel,"Beundenweg 64, 2503 Biel/Bienne",www.abw-biel.ch
allgemeine baugenossenschaft luzern (abl),"Bundesstrasse 16, 6003 Luzern",www.abl.ch
Allgemeine Baugenossenschaft Urdorf,"Wolfsmattstrasse 9, 8953 Dietikon",N/A
Allgemeine Baugenossenschaft Willisau (ABW),"Geissburgring 14, 6130 Willisau",N/A
Allgemeine Baugenossenschaft Winterthur,"Weststrasse 27, 8400 Winterthur",www.abw-winterthur.ch
Allgemeine Baugenossenschaft Zurich ABZ,"Gertrudstrasse 103, 8003 Zurich",www.abz.ch
Allgemeine Wohn- und Baugenossenschaft Basel (AWB),"Blochmonterstrasse 14, 4054 Basel",www.awb-basel.ch
Alloggi Ticino SA,"Via della Posta 21, 6934 Bioggio",www.alloggiticino.ch
Alters- und Wohngenossenschaft Logiscasa,"Herisauer Strasse 62, 9015 St. Gallen",www.logiscasa.ch
APARTIS Fondation pour le logement des etudiants,"Rue de l'Hopital 4, 1700 Fribourg",www.apartis.ch
Arbeiter Baugenossenschaft Schaffhausen Bocksriet,"Bocksrietstrasse 40, 8200 Schaffhausen",www.abgs.ch
"Arbeiter-, Bau- und Siedlungsgenossenschaft Wadenswil","Stoffelweg 5, 8820 Wadenswil",N/A
ASIEGRO Arbeiter-Siedlungsgen. Romanshorn,"Sonnmattstrasse 35, 8590 Romanshorn",N/A
"ASIG Arbeiter-, Bau- und Siedlungsgen.","Romanshornerstrasse 42, 8280 Kreuzlingen",N/A
ASIG Wohngenossenschaft,"Dreispitz 21, 8050 Zurich",www.asig-wohnen.ch
Asile agricole de La Brevine,"Av. Chobert 3, 2406 La Brevine",N/A
AWDAG Alterswohnungen Dattlikon AG,"c/o Gemeinde Dattlikon, Kirchgasse 1, 8421 Dattlikon",N/A
AWH Arbeiter- und Angestellten- Wohnbaugenossenschaft Horw,"Bifangstrasse 8, 6048 Horw",N/A
